feature1,feature2,feature3,feature4,feature5,feature6,target1,target2,target3,target4,target5
0.055071997,0.686710098,0,0,0.124353295,0,0.918519963,1.516775593,2.153194774,2.53690038,1.115602336
0.055501709,0.65925026,0,0,0.132216281,0,0.915677968,1.489439541,2.13386693,2.51184688,1.091741741
0.055931421,0.629776835,0,0,0.140368096,0,0.913237031,1.460195905,2.112767958,2.48410813,1.066700474
0.056361134,0.598504514,0,0,0.148667886,0,0.911209941,1.429009838,2.089866477,2.453633004,1.040460724
0.056790846,0.565673551,0,0,0.156962224,0,0.90960949,1.395846493,2.065131105,2.420370375,1.013004681
0.057220558,0.531548676,0,0,0.165086476,0,0.908448466,1.360671022,2.038530462,2.384269118,0.984314532
0.05765027,0.49641762,0,0,0.172866513,0,0.90773966,1.323448579,2.010033167,2.345278106,0.954372466
0.058079983,0.460589215,0,0,0.180120797,0,0.907495861,1.284144316,1.979607837,2.303346215,0.923160672
0.058509695,0.424391023,0,0,0.186662864,0,0.90772986,1.242723386,1.947223093,2.258422317,0.89066134
0.058939407,0.388166465,0,0,0.192304248,0,0.908454446,1.199150943,1.912847551,2.210455287,0.856856657
0.059369119,0.352271409,0,0,0.196857868,0,0.909682409,1.153392139,1.876449833,2.159393999,0.821728812
0.059798831,0.317070176,0,0,0.200141923,0,0.911426541,1.105412127,1.837998555,2.105187327,0.785259995
0.060228544,0.282930919,0,0,0.201984315,0,0.913699629,1.05517606,1.797462337,2.047784145,0.747432394
0.060658256,0.250220334,0,0,0.202227661,0,0.916514465,1.002649091,1.754809798,1.987133327,0.708228197
0.061087968,0.21929766,0,0,0.200734907,0,0.919883838,0.947796373,1.710009557,1.923183747,0.667629595
0.06151768,0.190507911,0.016801598,0,0.197395605,0,0.923820538,0.890583059,1.663030232,1.85588428,0.625618774
0.061947393,0.164174308,0.037594608,0,0.192132879,0,0.928337356,0.830974302,1.613840442,1.785183799,0.582177925
0.062377105,0.140589839,0.055728603,0,0.184911136,0,0.93344708,0.768935255,1.562408805,1.711031178,0.537289235
0.062806817,0.120007912,0.070995861,0,0.175744556,0,0.939162502,0.70443107,1.508703941,1.633375291,0.490934894
0.063236529,0.102632038,0.083241351,0,0.164706408,0,0.945496411,0.637426901,1.452694469,1.552165013,0.443097091
0.063666241,0.088604494,0.092374088,0.034733862,0.151939253,0,0.952461597,0.5678879,1.394349007,1.467349218,0.393758013
0.064095954,0.0779939,0.098379568,0.067524861,0.137666061,0.016553058,0.960070849,0.495779221,1.333636174,1.378876779,0.342899851
0.064525666,0.070781657,0.101333334,0.09199916,0.122202314,0.023146689,0.968336959,0.421066017,1.270524588,1.286696571,0.290504792
0.064955378,0.066847186,0.101415732,0.108209378,0.105969128,0.022627816,0.977272716,0.34371344,1.204982869,1.190757467,0.236555026
0.06538509,0.065951892,0.098927932,0.116442779,0.089507462,0.017880254,0.986890909,0.263686643,1.136979635,1.091008342,0.181032741
0.065814803,0.067721809,0.094309265,0.117257213,0.073493471,0.011514549,0.99720433,0.180950779,1.066483505,0.98739807,0.123920126
0.066244515,0.071628836,0.088155953,0.111519967,0.058755037,0.005687884,1.008225767,0.095471002,0.993463098,0.879875525,0.06519937
0.066674227,0.076970508,0.081241293,0.100449688,0.046289573,0.001935134,1.01996801,0.007212463,0.917887032,0.768389581,0.004852662
